,category,timestamp,value_date,logging_payment_timestamp,payment_timestamp,account_number,amount_payment,balance_account,entry_type,payment_type,BIC,reference_code_paymetn,IBAN,counterparty_account_id
2225,Shoppailu,2020-05-08 14:12:14.693877546,2020-05-08,2020-05-08,2020-05-08,3.0,-4528.64,27775.44,706.0,129.0,OKOYFIHH   ,0.0,0.0,211.0
2226,Luottojen_maksut,2020-05-08 20:34:17.142857137,2020-05-08,2020-05-08,2020-05-08,3.0,-25.48,27749.96,0.0,162.0,           ,1.0,1.0,113.0
2227,Matkailu,2020-05-11 02:56:19.591836728,2020-05-11,2020-05-11,2020-05-11,3.0,-16.99,27732.97,0.0,162.0,           ,1.0,1.0,146.0
2228,Tulot,2020-05-11 09:18:22.040816319,2020-05-11,2020-05-11,2020-05-11,3.0,-433.2,27299.77,706.0,106.0,OKOYFIHH   ,0.0,0.0,210.0
2229,Liikkuminen,2020-05-13 22:02:26.938775501,2020-05-13,2020-05-13,2020-05-13,3.0,-4.82,27294.95,0.0,162.0,           ,1.0,1.0,47.0
2230,Kulttuuri_viihde,2020-05-14 15:40:24.489795910,2020-05-14,2020-05-14,2020-05-14,3.0,-30.47,27264.48,0.0,162.0,           ,1.0,1.0,128.0
2231,Muut,2020-05-15 04:24:29.387755092,2020-05-15,2020-05-15,2020-05-15,3.0,-151.38,27113.1,0.0,163.0,           ,1.0,1.0,173.0
2232,Kulttuuri_viihde,2020-05-18 10:46:31.836734683,2020-05-18,2020-05-18,2020-05-18,3.0,-27.61,27085.49,706.0,106.0,OKOYFIHH   ,0.0,0.0,209.0
2233,Liikkuminen,2020-05-18 17:08:34.285714274,2020-05-18,2020-05-18,2020-05-18,3.0,-18.47,27067.02,0.0,162.0,           ,1.0,1.0,148.0
2234,Ruoka_paivittaistavarakauppa,2020-05-19 23:30:36.734693865,2020-05-19,2020-05-19,2020-05-19,3.0,-8.66,27058.36,0.0,162.0,           ,1.0,1.0,48.0
2235,Ruoka_paivittaistavarakauppa,2020-05-21 05:52:39.183673456,2020-05-21,2020-05-21,2020-05-21,3.0,-50.48,27007.88,0.0,162.0,           ,1.0,1.0,146.0
2236,Ruoka_paivittaistavarakauppa,2020-05-21 12:14:41.632653047,2020-05-21,2020-05-21,2020-05-21,3.0,-12.6,26995.28,0.0,162.0,           ,1.0,1.0,43.0
2237,Saastot_sijoitukset,2020-05-21 18:36:44.081632638,2020-05-21,2020-05-21,2020-05-21,3.0,-11.7,26983.58,0.0,162.0,           ,1.0,1.0,110.0
2238,Hyvinvointijakauneus,2020-05-25 00:58:46.530612229,2020-05-25,2020-05-25,2020-05-25,3.0,-46.65,26936.93,706.0,106.0,OKOYFIHH   ,0.0,0.0,204.0
2239,Saastot_sijoitukset,2020-05-26 07:20:48.979591820,2020-05-26,2020-05-26,2020-05-26,3.0,-46.94,26889.99,0.0,162.0,           ,1.0,1.0,68.0
2240,Luokittelemattomat,2020-05-27 13:42:51.428571411,2020-05-27,2020-05-27,2020-05-27,3.0,-26.33,26863.66,0.0,162.0,           ,1.0,1.0,146.0
2241,Ruoka_paivittaistavarakauppa,2020-05-28 20:04:53.877551002,2020-05-28,2020-05-28,2020-05-28,3.0,-8.82,26854.84,0.0,162.0,           ,1.0,1.0,85.0
2242,Asuminen,2020-05-29 02:26:56.326530593,2020-05-29,2020-05-29,2020-05-29,3.0,-134.61,26720.23,0.0,162.0,           ,1.0,1.0,133.0
2243,Muut,2020-05-29 08:48:58.775510184,2020-05-29,2020-05-29,2020-05-29,3.0,-113.31,26606.92,0.0,163.0,           ,1.0,1.0,173.0
2244,Tulot,2020-06-01 07:32:21.361256544,2020-06-01,2020-06-01,2020-06-01,3.0,6.53,26613.45,701.0,520.0,           ,1.0,1.0,197.0
2245,Ruoka_paivittaistavarakauppa,2020-06-01 15:04:42.722513088,2020-06-01,2020-06-01,2020-06-01,3.0,-15.64,26597.81,0.0,162.0,           ,1.0,1.0,166.0
2246,Muut,2020-06-01 22:37:04.083769632,2020-06-01,2020-06-01,2020-06-01,3.0,-156.39,26441.42,0.0,163.0,           ,1.0,1.0,175.0
2247,Luokittelemattomat,2020-06-02 06:09:25.445026176,2020-06-02,2020-06-02,2020-06-02,3.0,-308.85,26132.57,706.0,106.0,OKOYFIHH   ,0.0,0.0,205.0
2248,Asuminen,2020-06-02 13:41:46.806282720,2020-06-02,2020-06-02,2020-06-02,3.0,-23.75,26108.82,0.0,106.0,OKOYFIHH   ,0.0,0.0,26.0
2249,Lapset,2020-06-02 21:14:08.167539264,2020-06-02,2020-06-02,2020-06-01,3.0,-45.03,26063.79,0.0,162.0,           ,1.0,1.0,86.0
2250,Lemmikit,2020-06-03 04:46:29.528795808,2020-06-03,2020-06-03,2020-06-03,3.0,-8.64,26055.15,0.0,162.0,           ,1.0,1.0,105.0
2251,Ruoka_paivittaistavarakauppa,2020-06-03 12:18:50.890052352,2020-06-03,2020-06-03,2020-06-02,3.0,-25.12,26030.03,0.0,162.0,           ,1.0,1.0,85.0
2252,Ruoka_paivittaistavarakauppa,2020-06-03 19:51:12.251308896,2020-06-03,2020-06-03,2020-06-03,3.0,-20.05,26009.98,0.0,162.0,           ,1.0,1.0,113.0
2253,Lemmikit,2020-06-04 03:23:33.612565440,2020-06-04,2020-06-04,2020-06-04,3.0,-6.95,26003.03,0.0,162.0,           ,1.0,1.0,49.0
2254,Muut,2020-06-04 10:55:54.973821984,2020-06-04,2020-06-04,2020-06-04,3.0,-209.59,25793.44,0.0,163.0,           ,1.0,1.0,175.0
2255,Muut,2020-06-04 18:28:16.335078528,2020-06-04,2020-06-05,2020-06-04,3.0,-3.68,25789.76,0.0,162.0,           ,1.0,1.0,101.0
2256,Ravintolat_kahvilat,2020-06-05 00:37:41.780104704,2020-06-05,2020-06-05,2020-06-05,3.0,-1.41,25788.35,0.0,162.0,           ,1.0,1.0,139.0
2257,Ruoka_paivittaistavarakauppa,2020-06-05 02:00:37.696335072,2020-06-05,2020-06-05,2020-06-05,3.0,-2.77,25785.58,0.0,162.0,           ,1.0,1.0,92.0
2258,Ravintolat_kahvilat,2020-06-05 09:32:59.057591616,2020-06-05,2020-06-05,2020-06-05,3.0,-4.41,25781.17,0.0,162.0,           ,1.0,1.0,98.0
2259,Hyvinvointijakauneus,2020-06-05 17:05:20.418848160,2020-06-05,2020-06-05,2020-06-05,3.0,-84.81,25696.36,706.0,106.0,OKOYFIHH   ,0.0,0.0,208.0
2260,Ruoka_paivittaistavarakauppa,2020-06-05 23:14:45.863874336,2020-06-05,2020-06-05,2020-06-05,3.0,-30.96,25665.4,0.0,162.0,           ,1.0,1.0,74.0
2261,Ruoka_paivittaistavarakauppa,2020-06-08 05:24:11.308900512,2020-06-08,2020-06-08,2020-06-08,3.0,-9.02,25656.38,0.0,162.0,           ,1.0,1.0,68.0
2262,Muut,2020-06-08 06:47:07.225130880,2020-06-08,2020-06-08,2020-06-08,3.0,-9.15,25647.23,0.0,162.0,           ,1.0,1.0,114.0
2263,Liikkuminen,2020-06-08 08:10:03.141361248,2020-06-08,2020-06-08,2020-06-08,3.0,-48.92,25598.31,0.0,162.0,           ,1.0,1.0,135.0
2264,Ruoka_paivittaistavarakauppa,2020-06-08 12:56:32.670157056,2020-06-08,2020-06-08,2020-06-08,3.0,-2.78,25595.53,0.0,162.0,           ,1.0,1.0,103.0
2265,Ruoka_paivittaistavarakauppa,2020-06-08 14:19:28.586387424,2020-06-08,2020-06-08,2020-06-08,3.0,-6.48,25589.05,0.0,162.0,           ,1.0,1.0,104.0
2266,Ruoka_paivittaistavarakauppa,2020-06-08 15:42:24.502617792,2020-06-08,2020-06-08,2020-06-08,3.0,-10.25,25578.8,0.0,162.0,           ,1.0,1.0,59.0
2267,Muut,2020-06-08 20:28:54.031413600,2020-06-08,2020-06-08,2020-06-08,3.0,-382.68,25196.12,0.0,163.0,           ,1.0,1.0,173.0
2268,Lapset,2020-06-08 21:51:49.947643968,2020-06-08,2020-06-08,2020-06-08,3.0,-11.91,25184.21,0.0,162.0,           ,1.0,1.0,116.0
2269,Liikkuminen,2020-06-09 02:38:19.476439776,2020-06-09,2020-06-09,2020-06-09,3.0,-38.13,25146.08,0.0,162.0,           ,1.0,1.0,88.0
2270,Liikkuminen,2020-06-09 04:01:15.392670144,2020-06-09,2020-06-10,2020-06-09,3.0,-60.29,25085.79,0.0,162.0,           ,1.0,1.0,139.0
2271,Liikkuminen,2020-06-09 10:10:40.837696320,2020-06-09,2020-06-10,2020-06-09,3.0,-28.08,25057.71,0.0,162.0,           ,1.0,1.0,55.0
2272,Asuminen,2020-06-09 11:33:36.753926688,2020-06-09,2020-06-09,2020-06-09,3.0,-23.55,25034.16,0.0,162.0,           ,1.0,1.0,85.0
2273,Shoppailu,2020-06-09 19:05:58.115183232,2020-06-09,2020-06-09,2020-06-09,3.0,-21.28,25012.88,0.0,162.0,           ,1.0,1.0,117.0
2274,Ruoka_paivittaistavarakauppa,2020-06-10 17:43:02.198952864,2020-06-10,2020-06-10,2020-06-10,3.0,-95.62,24917.26,0.0,162.0,           ,1.0,1.0,112.0
2275,Ravintolat_kahvilat,2020-06-11 01:15:23.560209408,2020-06-11,2020-06-11,2020-06-11,3.0,-69.4,24847.86,0.0,106.0,SBANFIHH   ,0.0,0.0,19.0
2276,Liikkuminen,2020-06-11 08:47:44.921465952,2020-06-11,2020-06-11,2020-06-11,3.0,-40.21,24807.65,0.0,162.0,           ,1.0,1.0,87.0
2277,Ruoka_paivittaistavarakauppa,2020-06-11 13:34:14.450261760,2020-06-11,2020-06-11,2020-06-11,3.0,-6.42,24801.23,0.0,162.0,           ,1.0,1.0,90.0
2278,Ruoka_paivittaistavarakauppa,2020-06-11 16:20:06.282722496,2020-06-11,2020-06-11,2020-06-11,3.0,-14.12,24787.11,0.0,162.0,           ,1.0,1.0,85.0
2279,Liikkuminen,2020-06-11 23:52:27.643979040,2020-06-11,2020-06-11,2020-06-11,3.0,-135.24,24651.87,0.0,162.0,           ,1.0,1.0,111.0
2280,Matkailu,2020-06-12 07:24:49.005235584,2020-06-12,2020-06-12,2020-06-12,3.0,-29.59,24622.28,0.0,162.0,           ,1.0,1.0,141.0
2281,Shoppailu,2020-06-12 14:57:10.366492128,2020-06-12,2020-06-12,2020-06-12,3.0,-21.65,24600.63,0.0,162.0,           ,1.0,1.0,64.0
2282,Liikkuminen,2020-06-12 22:29:31.727748672,2020-06-12,2020-06-12,2020-06-12,3.0,-75.95,24524.68,0.0,162.0,           ,1.0,1.0,165.0
2283,Muut,2020-06-13 03:16:01.256544480,2020-06-13,2020-06-13,2020-06-13,3.0,-124.27,24400.41,0.0,163.0,           ,1.0,1.0,175.0
2284,Muut,2020-06-15 01:53:05.340314112,2020-06-15,2020-06-15,2020-06-15,3.0,-214.91,24185.5,0.0,163.0,           ,1.0,1.0,175.0
2285,Harrastukset,2020-06-15 06:01:53.089005216,2020-06-15,2020-06-15,2020-06-15,3.0,-31.24,24154.26,0.0,162.0,           ,1.0,1.0,86.0
2286,Luokittelemattomat,2020-06-15 10:48:22.617801024,2020-06-15,2020-06-15,2020-06-15,3.0,-9.99,24144.27,0.0,162.0,           ,1.0,1.0,124.0
2287,Liikkuminen,2020-06-15 12:11:18.534031392,2020-06-15,2020-06-15,2020-06-15,3.0,-16.22,24128.05,0.0,162.0,           ,1.0,1.0,47.0
2288,Ruoka_paivittaistavarakauppa,2020-06-15 18:20:43.979057568,2020-06-15,2020-06-17,2020-06-15,3.0,-23.31,24104.74,0.0,162.0,           ,1.0,1.0,118.0
2289,Ruoka_paivittaistavarakauppa,2020-06-15 19:43:39.895287936,2020-06-15,2020-06-15,2020-06-15,3.0,-0.73,24104.01,0.0,162.0,           ,1.0,1.0,124.0
2290,Ravintolat_kahvilat,2020-06-15 21:06:35.811518304,2020-06-15,2020-06-15,2020-06-15,3.0,-1.31,24102.7,0.0,162.0,           ,1.0,1.0,94.0
2291,Terveys,2020-06-16 04:38:57.172774848,2020-06-16,2020-06-16,2020-06-16,3.0,-107.45,23995.25,0.0,162.0,           ,1.0,1.0,87.0
2292,Liikkuminen,2020-06-16 08:02:30.785340288,2020-06-16,2020-06-16,2020-06-16,3.0,-45.31,23949.94,0.0,162.0,           ,1.0,1.0,113.0
2293,Ruoka_paivittaistavarakauppa,2020-06-16 09:25:26.701570656,2020-06-16,2020-06-16,2020-06-16,3.0,-47.97,23901.97,0.0,162.0,           ,1.0,1.0,98.0
2294,Ruoka_paivittaistavarakauppa,2020-06-16 16:57:48.062827200,2020-06-16,2020-06-16,2020-06-16,3.0,-40.34,23861.63,0.0,162.0,           ,1.0,1.0,113.0
2295,Muut,2020-06-16 23:07:13.507853376,2020-06-16,2020-06-16,2020-06-16,3.0,-85.61,23776.02,0.0,163.0,           ,1.0,1.0,173.0
2296,Ruoka_paivittaistavarakauppa,2020-06-17 00:30:09.424083744,2020-06-17,2020-06-17,2020-06-17,3.0,-5.45,23770.57,0.0,162.0,           ,1.0,1.0,53.0
2297,Ravintolat_kahvilat,2020-06-17 15:34:52.146596832,2020-06-17,2020-06-17,2020-06-17,3.0,-10.07,23760.5,0.0,162.0,           ,1.0,1.0,148.0
2298,Asuminen,2020-06-18 06:39:34.869109920,2020-06-18,2020-06-18,2020-06-18,3.0,-88.46,23672.04,0.0,162.0,           ,1.0,1.0,120.0
2299,Ravintolat_kahvilat,2020-06-18 14:11:56.230366464,2020-06-18,2020-06-18,2020-06-18,3.0,-1.81,23670.23,0.0,162.0,           ,1.0,1.0,131.0
2300,Harrastukset,2020-06-18 21:44:17.591623008,2020-06-18,2020-06-18,2020-06-18,3.0,-103.9,23566.33,0.0,162.0,           ,1.0,1.0,158.0
2301,Ruoka_paivittaistavarakauppa,2020-06-19 02:30:47.120418816,2020-06-19,2020-06-19,2020-06-19,3.0,-24.73,23541.6,0.0,162.0,           ,1.0,1.0,71.0
2302,Muut,2020-06-19 03:53:43.036649184,2020-06-19,2020-06-19,2020-06-19,3.0,-40.85,23500.75,0.0,162.0,           ,1.0,1.0,106.0
2303,Asuminen,2020-06-19 05:16:38.952879552,2020-06-19,2020-06-19,2020-06-19,3.0,-24.06,23476.69,0.0,162.0,           ,1.0,1.0,161.0
2304,Luokittelemattomat,2020-06-19 12:49:00.314136096,2020-06-19,2020-06-19,2020-06-19,3.0,-12.08,23464.61,0.0,162.0,           ,1.0,1.0,104.0
2305,Ruoka_paivittaistavarakauppa,2020-06-19 18:58:25.759162272,2020-06-19,2020-06-19,2020-06-19,3.0,-8.48,23456.13,0.0,162.0,           ,1.0,1.0,96.0
2306,Ruoka_paivittaistavarakauppa,2020-06-19 20:21:21.675392640,2020-06-19,2020-06-19,2020-06-19,3.0,-11.08,23445.05,0.0,162.0,           ,1.0,1.0,93.0
2307,Muut,2020-06-20 11:26:04.397905728,2020-06-20,2020-06-20,2020-06-20,3.0,-104.55,23340.5,0.0,163.0,           ,1.0,1.0,174.0
2308,Liikkuminen,2020-06-21 10:03:08.481675360,2020-06-21,2020-06-21,2020-06-21,3.0,-757.79,22582.71,0.0,106.0,DABAFIHH   ,0.0,0.0,36.0
2309,Ruoka_paivittaistavarakauppa,2020-06-22 01:07:51.204188448,2020-06-22,2020-06-22,2020-06-22,3.0,-9.11,22573.6,0.0,162.0,           ,1.0,1.0,53.0
2310,Ruoka_paivittaistavarakauppa,2020-06-22 08:40:12.565444992,2020-06-22,2020-06-22,2020-06-22,3.0,-4.23,22569.37,0.0,162.0,           ,1.0,1.0,106.0
2311,Liikkuminen,2020-06-22 16:12:33.926701536,2020-06-22,2020-06-22,2020-06-22,3.0,-4.69,22564.68,0.0,162.0,           ,1.0,1.0,146.0
2312,Ruoka_paivittaistavarakauppa,2020-06-22 17:35:29.842931904,2020-06-22,2020-06-22,2020-06-22,3.0,-28.62,22536.06,0.0,162.0,           ,1.0,1.0,154.0
2313,Liikkuminen,2020-06-22 23:44:55.287958080,2020-06-22,2020-06-22,2020-06-22,3.0,-7.83,22528.23,0.0,162.0,           ,1.0,1.0,147.0
2314,Liikkuminen,2020-06-23 05:54:20.732984256,2020-06-23,2020-06-23,2020-06-23,3.0,-11.17,22517.06,0.0,162.0,           ,1.0,1.0,156.0
2315,Tulot,2020-06-23 07:17:16.649214624,2020-06-23,2020-06-23,2020-06-23,3.0,-27.23,22489.83,0.0,162.0,           ,1.0,1.0,44.0
2316,Asuminen,2020-06-23 14:49:38.010471168,2020-06-23,2020-06-23,2020-06-23,3.0,-45.18,22444.65,0.0,162.0,           ,1.0,1.0,68.0
2317,Luottojen_maksut,2020-06-23 22:21:59.371727712,2020-06-23,2020-06-23,2020-06-23,3.0,-59.25,22385.4,0.0,162.0,           ,1.0,1.0,81.0
2318,Liikkuminen,2020-06-24 13:26:42.094240800,2020-06-24,2020-06-24,2020-06-24,3.0,-48.28,22337.12,0.0,162.0,           ,1.0,1.0,113.0
2319,Ravintolat_kahvilat,2020-06-24 19:36:07.539266976,2020-06-24,2020-06-24,2020-06-24,3.0,-2.33,22334.79,0.0,162.0,           ,1.0,1.0,112.0
2320,Liikkuminen,2020-06-24 20:59:03.455497344,2020-06-24,2020-06-24,2020-06-24,3.0,-139.88,22194.91,0.0,162.0,           ,1.0,1.0,108.0
2321,Hyvinvointi,2020-06-25 12:03:46.178010432,2020-06-25,2020-06-25,2020-06-25,3.0,-21.72,22173.19,0.0,162.0,           ,1.0,1.0,45.0
2322,Lemmikit,2020-06-25 18:13:11.623036608,2020-06-25,2020-06-25,2020-06-25,3.0,-14.96,22158.23,0.0,162.0,           ,1.0,1.0,92.0
2323,Saastot_sijoitukset,2020-06-26 00:22:37.068062784,2020-06-26,2020-06-26,2020-06-26,3.0,-2.54,22155.69,0.0,162.0,           ,1.0,1.0,44.0
2324,Ruoka_paivittaistavarakauppa,2020-06-26 01:45:32.984293152,2020-06-26,2020-06-26,2020-06-26,3.0,-9.01,22146.68,0.0,162.0,           ,1.0,1.0,106.0
2325,Ruoka_paivittaistavarakauppa,2020-06-26 03:08:28.900523520,2020-06-26,2020-06-26,2020-06-26,3.0,-35.62,22111.06,0.0,162.0,           ,1.0,1.0,111.0
2326,Liikkuminen,2020-06-26 04:31:24.816753888,2020-06-26,2020-06-26,2020-06-26,3.0,-203.51,21907.55,0.0,162.0,           ,1.0,1.0,117.0
2327,Asuminen,2020-06-26 09:17:54.345549696,2020-06-26,2020-06-26,2020-06-26,3.0,-185.11,21722.44,0.0,162.0,           ,1.0,1.0,124.0
2328,Ravintolat_kahvilat,2020-06-26 10:40:50.261780064,2020-06-26,2020-06-26,2020-06-26,3.0,-30.76,21691.68,0.0,162.0,           ,1.0,1.0,102.0
2329,Luottojen_maksut,2020-06-28 22:59:41.151832416,2020-06-28,2020-06-28,2020-06-28,3.0,-42.04,21649.64,0.0,106.0,OKOYFIHH   ,0.0,0.0,37.0
2330,Ruoka_paivittaistavarakauppa,2020-06-29 05:09:06.596858592,2020-06-29,2020-06-29,2020-06-29,3.0,-4.58,21645.06,0.0,162.0,           ,1.0,1.0,172.0
2331,Luokittelemattomat,2020-06-29 06:32:02.513088960,2020-06-29,2020-06-29,2020-06-29,3.0,-116.98,21528.08,0.0,162.0,           ,1.0,1.0,87.0
2332,Liikkuminen,2020-06-29 07:54:58.429319328,2020-06-29,2020-06-29,2020-06-29,3.0,-10.73,21517.35,0.0,162.0,           ,1.0,1.0,124.0
2333,Lapset,2020-06-29 12:41:27.958115136,2020-06-29,2020-06-29,2020-06-29,3.0,-174.76,21342.59,0.0,162.0,           ,1.0,1.0,124.0
2334,Liikkuminen,2020-06-29 14:04:23.874345504,2020-06-29,2020-06-29,2020-06-29,3.0,-6.91,21335.68,0.0,162.0,           ,1.0,1.0,140.0
2335,Ravintolat_kahvilat,2020-06-29 15:27:19.790575872,2020-06-29,2020-06-29,2020-06-29,3.0,-1.86,21333.82,0.0,162.0,           ,1.0,1.0,102.0
2336,Muut,2020-06-29 16:50:15.706806240,2020-06-29,2020-06-29,2020-06-29,3.0,-20.5,21313.32,0.0,162.0,           ,1.0,1.0,144.0
2337,Ruoka_paivittaistavarakauppa,2020-06-29 21:36:45.235602048,2020-06-29,2020-06-29,2020-06-29,3.0,-35.53,21277.79,0.0,162.0,           ,1.0,1.0,71.0
2338,Ruoka_paivittaistavarakauppa,2020-06-30 20:13:49.319371680,2020-06-30,2020-06-30,2020-06-30,3.0,-8.9,21268.89,0.0,162.0,           ,1.0,1.0,64.0
2339,Muut,2020-07-01 15:54:51.978609624,2020-07-01,2020-07-01,2020-07-01,3.0,-29.91,21238.98,0.0,106.0,DABAFIHH   ,0.0,0.0,14.0
2340,Asuminen,2020-07-01 23:52:17.967914436,2020-07-01,2020-07-01,2020-07-01,3.0,-7.96,21231.02,0.0,162.0,           ,1.0,1.0,82.0
2341,Liikkuminen,2020-07-02 07:49:43.957219248,2020-07-02,2020-07-03,2020-07-02,3.0,-87.63,21143.39,0.0,162.0,           ,1.0,1.0,59.0
2342,Liikkuminen,2020-07-02 07:57:25.989304812,2020-07-02,2020-07-02,2020-07-02,3.0,-6.65,21136.74,0.0,162.0,           ,1.0,1.0,158.0
2343,Luokittelemattomat,2020-07-02 15:47:09.946524060,2020-07-02,2020-07-02,2020-07-02,3.0,-2.44,21134.3,0.0,162.0,           ,1.0,1.0,43.0
2344,Shoppailu,2020-07-02 23:44:35.935828872,2020-07-02,2020-07-02,2020-07-02,3.0,-60.7,21073.6,0.0,162.0,           ,1.0,1.0,76.0
2345,Ruoka_paivittaistavarakauppa,2020-07-03 07:26:37.860962556,2020-07-03,2020-07-03,2020-07-03,3.0,-2.48,21071.12,0.0,162.0,           ,1.0,1.0,116.0
2346,Ravintolat_kahvilat,2020-07-03 07:42:01.925133684,2020-07-03,2020-07-03,2020-07-03,3.0,-6.29,21064.83,0.0,162.0,           ,1.0,1.0,148.0
2347,Luokittelemattomat,2020-07-03 15:31:45.882352932,2020-07-03,2020-07-03,2020-07-03,3.0,-8.16,21056.67,0.0,162.0,           ,1.0,1.0,43.0
2348,Ravintolat_kahvilat,2020-07-03 15:39:27.914438496,2020-07-03,2020-07-03,2020-07-03,3.0,-149.91,20906.76,0.0,162.0,           ,1.0,1.0,81.0
2349,Ruoka_paivittaistavarakauppa,2020-07-03 23:36:53.903743308,2020-07-03,2020-07-03,2020-07-03,3.0,-2.07,20904.69,0.0,162.0,           ,1.0,1.0,45.0
2350,Matkailu,2020-07-06 07:18:55.828876992,2020-07-06,2020-07-06,2020-07-06,3.0,-42.91,20861.78,0.0,162.0,           ,1.0,1.0,106.0
2351,Ruoka_paivittaistavarakauppa,2020-07-06 07:34:19.893048120,2020-07-06,2020-07-06,2020-07-06,3.0,-42.25,20819.53,0.0,162.0,           ,1.0,1.0,165.0
2352,Ruoka_paivittaistavarakauppa,2020-07-06 15:16:21.818181804,2020-07-06,2020-07-06,2020-07-06,3.0,-30.84,20788.69,0.0,162.0,           ,1.0,1.0,144.0
2353,Liikkuminen,2020-07-06 15:24:03.850267368,2020-07-06,2020-07-06,2020-07-06,3.0,-18.31,20770.38,0.0,162.0,           ,1.0,1.0,81.0
2354,Liikkuminen,2020-07-06 23:13:47.807486616,2020-07-06,2020-07-08,2020-07-06,3.0,-14.29,20756.09,0.0,162.0,           ,1.0,1.0,143.0
2355,Ruoka_paivittaistavarakauppa,2020-07-06 23:21:29.839572180,2020-07-06,2020-07-06,2020-07-06,3.0,-63.12,20692.97,0.0,162.0,           ,1.0,1.0,44.0
2356,Ruoka_paivittaistavarakauppa,2020-07-06 23:29:11.871657744,2020-07-06,2020-07-06,2020-07-06,3.0,-12.4,20680.57,0.0,162.0,           ,1.0,1.0,64.0
2357,Liikkuminen,2020-07-07 07:11:13.796791428,2020-07-07,2020-07-07,2020-07-07,3.0,-182.47,20498.1,0.0,162.0,           ,1.0,1.0,142.0
2358,Ruoka_paivittaistavarakauppa,2020-07-07 15:00:57.754010676,2020-07-07,2020-07-07,2020-07-07,3.0,-5.15,20492.95,0.0,162.0,           ,1.0,1.0,168.0
2359,Liikkuminen,2020-07-07 15:08:39.786096240,2020-07-07,2020-07-07,2020-07-07,3.0,-47.57,20445.38,0.0,162.0,           ,1.0,1.0,156.0
2360,Ravintolat_kahvilat,2020-07-07 23:06:05.775401052,2020-07-07,2020-07-07,2020-07-07,3.0,-1.82,20443.56,0.0,162.0,           ,1.0,1.0,82.0
2361,Ruoka_paivittaistavarakauppa,2020-07-09 06:48:07.700534736,2020-07-09,2020-07-09,2020-07-09,3.0,-67.56,20376.0,0.0,162.0,           ,1.0,1.0,133.0
2362,Saastot_sijoitukset,2020-07-09 06:55:49.732620300,2020-07-09,2020-07-09,2020-07-09,3.0,-134.3,20241.7,0.0,162.0,           ,1.0,1.0,112.0
2363,Hyvinvointijakauneus,2020-07-09 07:03:31.764705864,2020-07-09,2020-07-09,2020-07-09,3.0,-40.55,20201.15,0.0,162.0,           ,1.0,1.0,119.0
2364,Ruoka_paivittaistavarakauppa,2020-07-09 14:53:15.721925112,2020-07-09,2020-07-09,2020-07-09,3.0,-9.02,20192.13,0.0,162.0,           ,1.0,1.0,125.0
2365,Ruoka_paivittaistavarakauppa,2020-07-09 22:42:59.679144360,2020-07-09,2020-07-09,2020-07-09,3.0,-13.01,20179.12,0.0,162.0,           ,1.0,1.0,113.0
2366,Ruoka_paivittaistavarakauppa,2020-07-09 22:50:41.711229924,2020-07-09,2020-07-09,2020-07-09,3.0,-17.64,20161.48,0.0,162.0,           ,1.0,1.0,76.0
2367,Liikkuminen,2020-07-09 22:58:23.743315488,2020-07-09,2020-07-09,2020-07-09,3.0,-2.54,20158.94,0.0,162.0,           ,1.0,1.0,134.0
2368,Luokittelemattomat,2020-07-10 06:40:25.668449172,2020-07-10,2020-07-10,2020-07-10,3.0,-27.05,20131.89,0.0,162.0,           ,1.0,1.0,107.0
2369,Shoppailu,2020-07-10 14:37:51.657753984,2020-07-10,2020-07-10,2020-07-10,3.0,-22.59,20109.3,0.0,162.0,           ,1.0,1.0,113.0
2370,Tulot,2020-07-10 14:45:33.689839548,2020-07-10,2020-07-10,2020-07-10,3.0,2176.89,22286.19,0.0,559.0,           ,1.0,1.0,193.0
2371,Liikkuminen,2020-07-10 22:35:17.647058796,2020-07-10,2020-07-10,2020-07-10,3.0,-32.41,22253.78,0.0,162.0,           ,1.0,1.0,87.0
2372,Matkailu,2020-07-13 06:17:19.572192480,2020-07-13,2020-07-13,2020-07-13,3.0,-19.04,22234.74,0.0,162.0,           ,1.0,1.0,43.0
2373,Liikkuminen,2020-07-13 06:25:01.604278044,2020-07-13,2020-07-13,2020-07-13,3.0,-57.43,22177.31,0.0,162.0,           ,1.0,1.0,65.0
2374,Ruoka_paivittaistavarakauppa,2020-07-13 06:32:43.636363608,2020-07-13,2020-07-13,2020-07-13,3.0,-18.06,22159.25,0.0,162.0,           ,1.0,1.0,156.0
2375,Muut,2020-07-13 14:14:45.561497292,2020-07-13,2020-07-13,2020-07-13,3.0,-425.61,21733.64,0.0,164.0,           ,1.0,1.0,178.0
2376,Liikkuminen,2020-07-13 14:22:27.593582856,2020-07-13,2020-07-13,2020-07-13,3.0,-43.95,21689.69,0.0,162.0,           ,1.0,1.0,87.0
2377,Muut,2020-07-13 14:30:09.625668420,2020-07-13,2020-07-13,2020-07-13,3.0,-2.7,21686.99,0.0,162.0,           ,1.0,1.0,124.0
2378,Matkailu,2020-07-13 22:04:29.518716540,2020-07-13,2020-07-13,2020-07-13,3.0,-95.9,21591.09,0.0,164.0,           ,1.0,1.0,177.0
2379,Ruoka_paivittaistavarakauppa,2020-07-13 22:19:53.582887668,2020-07-13,2020-07-13,2020-07-13,3.0,-36.01,21555.08,0.0,162.0,           ,1.0,1.0,82.0
